0.5,10,1.002246401,0.000597629,,0.5,25,0.998796811,0,,0.5,50,0.996188017,0
,,,,,,,,,,,,,
0.6,10,1.467751644,0.002405801,,0.6,25,1.482727207,0,,0.6,50,1.513491826,0
,,,,,,,,,,,,,
0.7,10,2.109470468,0.008126341,,0.7,25,2.310603237,1.71E-05,,0.7,50,2.375043298,0
,,,,,,,,,,,,,
0.8,10,2.980945512,0.023099266,,0.8,25,3.954417827,0.000727565,,0.8,50,3.910795975,0
,,,,,,,,,,,,,
0.9,10,3.914825263,0.048716195,,0.9,25,7.236362965,0.007086586,,0.9,50,8.387942288,0.000313457
,,,,,,,,,,,,,
1,10,5.014750044,0.089688426,,1,25,12.56103042,0.037708341,,1,50,25.34064718,0.021895349
,,,,,,,,,,,,,
1.1,10,5.898705336,0.13838277,,1.1,25,17.41728184,0.100089187,,1.1,50,40.56382623,0.091046318
,,,,,,,,,,,,,
1.2,10,6.71412831,0.193095354,,1.2,25,20.26198113,0.170150423,,1.2,50,44.96456422,0.168552602
,,,,,,,,,,,,,
1.3,10,7.324817622,0.244259175,,1.3,25,21.65113344,0.22889181,,1.3,50,46.66576738,0.229934421
,,,,,,,,,,,,,
1.4,10,7.785552225,0.291669165,,1.4,25,22.5160279,0.283860925,,1.4,50,47.5049284,0.286202432
,,,,,,,,,,,,,
1.5,10,8.131571547,0.336574074,,1.5,25,23.00821498,0.332163123,,1.5,50,48.00132607,0.332885094
